employee_id,review_period,overall_rating,goal_completion_pct,manager_notes,throughput_consistency,scope_of_impact,cycle_time,change_failure_rate,review_influence_index,ai_tool_penetration,slo_health,knowledge_contribution_rate,say_do_ratio,innovation_vs_maintenance_ratio
E011,2026-Q1,3.0,71.1,Good progress this quarter. Met key commitments and is developing well in the role.,0.893,5.0,5.8,11.4,8.0,,,,,
E012,2025-Q3,3.5,77.7,Good progress this quarter. Met key commitments and is developing well in the role.,0.933,5.0,1.5,13.5,19.0,,,,,
E012,2025-Q4,3.0,60.5,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.804,5.0,5.5,7.3,11.0,,,,,
E012,2026-Q1,3.5,70.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.968,7.0,4.6,8.3,13.0,,,,,
E013,2025-Q3,4.0,89.3,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,62.9,100.0,9.0,109.3,0.61
E013,2025-Q4,4.5,96.6,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,73.4,99.96,10.0,86.0,0.77
E013,2026-Q1,4.0,85.3,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,65.3,95.95,6.0,99.9,0.82
E014,2025-Q3,1.0,58.3,Significant concerns this quarter. Needs immediate improvement in delivery and collaboration.,0.604,1.0,9.9,19.2,9.0,,,,,
E014,2025-Q4,1.5,61.1,Significant concerns this quarter. Needs immediate improvement in delivery and collaboration.,0.677,4.0,8.8,20.1,2.0,,,,,
E014,2026-Q1,1.5,54.2,Not meeting expectations. Performance improvement plan in place. Manager working closely to support.,0.76,2.0,7.3,17.2,3.0,,,,,
E015,2025-Q3,3.0,58.0,Good progress this quarter. Met key commitments and is developing well in the role.,0.779,4.0,2.3,7.7,7.0,,,,,
E015,2025-Q4,3.0,84.9,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.768,5.0,7.4,7.7,7.0,,,,,
E015,2026-Q1,3.5,80.2,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.897,6.0,6.2,5.6,11.0,,,,,
E016,2025-Q3,3.0,66.3,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.854,5.0,4.3,10.3,13.0,,,,,
E016,2025-Q4,3.0,64.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.774,8.0,6.2,12.9,6.0,,,,,
E016,2026-Q1,3.0,79.6,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.847,5.0,6.2,11.1,12.0,,,,,
E017,2025-Q3,3.5,69.0,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.753,8.0,6.9,5.6,6.0,,,,,
E017,2025-Q4,3.5,89.4,Good progress this quarter. Met key commitments and is developing well in the role.,0.891,6.0,3.8,8.7,11.0,,,,,
E017,2026-Q1,3.5,98.4,Good progress this quarter. Met key commitments and is developing well in the role.,0.954,8.0,3.7,11.3,13.0,,,,,
E018,2025-Q3,4.0,98.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,71.9,98.76,10.0,81.7,1.03
E018,2025-Q4,4.0,77.8,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,79.5,100.0,12.0,98.0,1.47
E018,2026-Q1,4.0,89.6,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,69.2,98.07,7.0,95.6,0.97
E019,2025-Q3,3.5,89.2,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,60.1,97.8,8.0,90.9,0.85
E019,2025-Q4,3.0,70.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,58.1,97.47,3.0,88.0,1.8
E019,2026-Q1,3.5,90.2,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,60.3,96.49,6.0,95.3,1.36
E020,2025-Q3,3.5,90.8,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.803,6.0,5.4,8.1,10.0,,,,,
E020,2025-Q4,3.5,78.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.834,7.0,4.5,9.4,12.0,,,,,
E020,2026-Q1,3.5,78.2,Good progress this quarter. Met key commitments and is developing well in the role.,0.807,3.0,2.3,8.8,12.0,,,,,
E021,2025-Q3,4.0,97.7,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.776,8.0,6.7,3.4,12.0,,,,,
E021,2025-Q4,4.0,80.8,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.981,10.0,3.9,12.5,14.0,,,,,
E021,2026-Q1,4.5,93.3,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.962,9.0,8.5,7.5,13.0,,,,,
E022,2025-Q3,2.5,67.1,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,0.82,5.0,6.9,12.5,9.0,,,,,
E022,2025-Q4,2.5,54.5,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.808,3.0,4.3,12.3,8.0,,,,,
E022,2026-Q1,2.0,70.6,Showing improvement from last period. Needs continued coaching on estimation and scope management.,0.71,3.0,7.1,15.2,2.0,,,,,
E023,2025-Q3,4.0,88.5,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.815,5.0,4.4,6.1,13.0,,,,,
E023,2025-Q4,3.5,83.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.809,5.0,3.5,9.6,15.0,,,,,
E023,2026-Q1,3.5,62.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.78,5.0,4.3,7.5,12.0,,,,,
E024,2025-Q3,3.5,90.4,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,53.1,98.07,5.0,95.6,1.26
E024,2025-Q4,3.5,94.7,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,55.0,99.97,8.0,82.3,1.25
E024,2026-Q1,3.5,76.0,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,64.4,96.75,10.0,101.8,1.73
E025,2025-Q3,3.0,86.9,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.726,5.0,4.5,11.0,8.0,,,,,
E025,2025-Q4,3.0,91.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.841,5.0,5.9,10.6,11.0,,,,,
E025,2026-Q1,3.5,95.2,Good progress this quarter. Met key commitments and is developing well in the role.,0.88,7.0,3.4,8.4,14.0,,,,,
E026,2025-Q3,2.5,71.7,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.8,6.0,6.9,11.4,9.0,,,,,
E026,2025-Q4,2.0,67.1,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.548,1.0,7.9,15.8,2.0,,,,,
E026,2026-Q1,2.5,81.0,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.887,4.0,7.1,17.4,8.0,,,,,
E027,2025-Q3,2.5,69.1,Showing improvement from last period. Needs continued coaching on estimation and scope management.,0.773,2.0,6.1,10.3,10.0,,,,,
E027,2025-Q4,3.0,73.7,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.831,6.0,4.3,7.5,13.0,,,,,
E027,2026-Q1,3.0,64.7,Good progress this quarter. Met key commitments and is developing well in the role.,0.842,6.0,3.5,11.3,12.0,,,,,
E028,2025-Q3,4.0,93.1,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.927,7.0,3.7,9.4,18.0,,,,,
E028,2025-Q4,4.5,100.0,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.95,9.0,4.9,5.3,16.0,,,,,
E028,2026-Q1,4.0,87.5,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.889,8.0,4.4,7.8,16.0,,,,,
E029,2025-Q3,4.0,94.0,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,69.0,96.52,12.0,92.0,0.42
E029,2025-Q4,3.5,73.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,,,,,,57.8,97.1,9.0,95.2,1.34
E029,2026-Q1,4.0,92.9,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,49.1,97.56,5.0,96.3,1.0
E030,2025-Q3,4.5,100.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.93,9.0,2.9,4.9,18.0,,,,,
E030,2025-Q4,4.0,94.4,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.944,6.0,5.9,8.9,14.0,,,,,
E030,2026-Q1,4.0,81.1,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.937,6.0,5.1,3.1,13.0,,,,,
E031,2025-Q3,4.0,100.0,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.841,10.0,4.6,8.0,14.0,,,,,
E031,2025-Q4,4.0,86.8,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.887,9.0,3.4,6.6,10.0,,,,,
E031,2026-Q1,4.0,99.6,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.906,7.0,2.7,6.1,9.0,,,,,
E032,2025-Q3,3.0,77.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.96,5.0,8.0,11.3,9.0,,,,,
E032,2025-Q4,3.5,82.5,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.871,6.0,3.0,4.1,13.0,,,,,
E032,2026-Q1,3.5,77.2,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.905,7.0,4.1,12.4,16.0,,,,,
E033,2025-Q3,4.0,95.8,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.972,9.0,5.3,8.6,15.0,,,,,
E033,2025-Q4,4.0,93.6,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.87,9.0,5.7,11.3,13.0,,,,,
E033,2026-Q1,4.0,86.1,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.915,8.0,6.1,5.7,15.0,,,,,
E034,2025-Q3,4.0,91.6,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,60.0,97.72,9.0,93.8,1.62
E034,2025-Q4,4.0,86.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,49.2,96.93,9.0,90.5,1.48
E034,2026-Q1,4.5,100.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,72.3,98.39,11.0,113.3,0.1
E035,2025-Q3,3.5,77.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,60.1,98.33,9.0,89.4,1.58
E035,2025-Q4,4.0,89.5,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,68.2,97.33,11.0,96.9,1.0
E035,2026-Q1,4.5,74.4,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,60.7,97.08,10.0,97.5,0.25
E036,2025-Q3,2.5,63.1,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.865,4.0,6.0,9.1,2.0,,,,,
E036,2025-Q4,3.0,68.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.816,3.0,4.7,11.0,11.0,,,,,
E036,2026-Q1,3.0,65.4,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.78,6.0,5.8,6.5,9.0,,,,,
E037,2025-Q3,3.0,80.9,Good progress this quarter. Met key commitments and is developing well in the role.,0.813,8.0,7.3,9.8,12.0,,,,,
E037,2025-Q4,3.5,97.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.819,9.0,3.5,4.7,10.0,,,,,
E037,2026-Q1,3.5,81.2,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.832,5.0,4.0,6.1,18.0,,,,,
E038,2025-Q3,2.5,77.1,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.766,3.0,2.5,8.4,2.0,,,,,
E038,2025-Q4,2.5,60.4,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.841,4.0,8.4,13.7,10.0,,,,,
E038,2026-Q1,2.5,74.2,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.746,5.0,7.3,10.9,4.0,,,,,
E039,2025-Q3,3.5,82.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.881,5.0,5.1,10.4,13.0,,,,,
E039,2025-Q4,4.0,98.2,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.994,7.0,6.0,7.0,12.0,,,,,
E039,2026-Q1,3.5,80.6,Good progress this quarter. Met key commitments and is developing well in the role.,0.787,8.0,7.4,6.3,12.0,,,,,
E040,2025-Q3,3.0,71.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,,,,,,53.7,99.09,6.0,97.0,1.48
E040,2025-Q4,3.5,78.4,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,59.6,97.36,7.0,97.8,1.45
E040,2026-Q1,3.5,94.3,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,57.0,97.95,7.0,92.7,1.02
E041,2025-Q3,4.0,90.9,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.899,9.0,1.1,0.8,16.0,,,,,
E041,2025-Q4,3.5,84.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.864,10.0,6.3,9.2,10.0,,,,,
E041,2026-Q1,3.5,65.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.878,8.0,2.7,6.7,8.0,,,,,
E042,2025-Q3,3.0,76.4,Good progress this quarter. Met key commitments and is developing well in the role.,0.693,6.0,6.9,9.8,2.0,,,,,
E042,2025-Q4,3.0,85.9,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.681,5.0,4.0,13.0,7.0,,,,,
E042,2026-Q1,3.5,86.5,Good progress this quarter. Met key commitments and is developing well in the role.,0.855,7.0,2.9,12.3,9.0,,,,,
E043,2025-Q3,3.5,81.8,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.787,7.0,6.6,9.6,7.0,,,,,
E043,2025-Q4,4.0,93.9,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.856,9.0,4.8,8.0,19.0,,,,,
E043,2026-Q1,4.0,93.3,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,1.0,7.0,3.2,8.1,15.0,,,,,
E044,2025-Q3,3.5,73.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.881,5.0,6.5,8.4,11.0,,,,,
E044,2025-Q4,4.0,77.7,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.928,10.0,5.1,5.7,12.0,,,,,
E044,2026-Q1,3.5,80.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.911,4.0,6.4,7.6,13.0,,,,,
E045,2025-Q3,4.0,98.6,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,76.0,99.15,6.0,102.6,1.14
E045,2025-Q4,4.0,87.8,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,70.4,98.21,10.0,107.8,1.43
E045,2026-Q1,4.0,85.5,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,64.7,95.9,10.0,106.0,0.62
E046,2025-Q3,3.5,74.7,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.939,6.0,5.8,3.1,17.0,,,,,
E046,2025-Q4,4.0,86.5,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.939,5.0,6.2,5.8,13.0,,,,,
E046,2026-Q1,3.5,77.4,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.878,7.0,5.1,10.2,10.0,,,,,
E047,2025-Q3,2.5,57.5,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,0.838,7.0,5.2,19.2,10.0,,,,,
E047,2025-Q4,2.5,70.2,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.765,5.0,8.6,13.0,5.0,,,,,
E047,2026-Q1,2.5,77.4,Showing improvement from last period. Needs continued coaching on estimation and scope management.,0.808,6.0,6.1,9.7,5.0,,,,,
E048,2025-Q3,2.5,71.9,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.753,1.0,4.6,15.9,6.0,,,,,
E048,2025-Q4,3.0,64.9,Good progress this quarter. Met key commitments and is developing well in the role.,0.892,5.0,6.2,17.6,14.0,,,,,
E048,2026-Q1,3.0,71.3,Good progress this quarter. Met key commitments and is developing well in the role.,0.845,5.0,5.2,15.0,9.0,,,,,
E049,2025-Q3,3.0,76.7,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.909,6.0,7.2,8.4,7.0,,,,,
E049,2025-Q4,2.5,77.9,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.711,2.0,4.4,7.2,8.0,,,,,
E049,2026-Q1,3.0,75.9,Good progress this quarter. Met key commitments and is developing well in the role.,0.707,5.0,5.6,16.9,5.0,,,,,
E050,2025-Q3,4.0,100.0,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,70.5,98.14,10.0,102.2,0.72
E050,2025-Q4,4.0,77.0,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,68.6,98.21,8.0,95.8,0.78
E050,2026-Q1,4.0,85.2,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,68.6,96.62,11.0,86.5,0.8
E051,2025-Q3,4.0,98.6,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,68.6,97.75,10.0,79.1,0.98
E051,2025-Q4,4.5,95.1,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,76.4,99.57,7.0,86.0,0.85
E051,2026-Q1,4.5,100.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,69.5,96.18,8.0,77.5,0.69
E052,2025-Q3,3.5,78.6,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.925,6.0,1.9,10.6,13.0,,,,,
E052,2025-Q4,3.5,89.9,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.807,10.0,3.7,10.9,6.0,,,,,
E052,2026-Q1,3.5,94.1,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.907,7.0,4.9,12.8,11.0,,,,,
E053,2025-Q3,2.5,63.6,Showing improvement from last period. Needs continued coaching on estimation and scope management.,0.803,5.0,4.1,10.3,6.0,,,,,
E053,2025-Q4,2.5,59.0,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.739,6.0,7.7,12.1,6.0,,,,,
E053,2026-Q1,3.0,69.5,Good progress this quarter. Met key commitments and is developing well in the role.,0.763,4.0,4.8,7.1,10.0,,,,,
E054,2025-Q3,2.5,57.3,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,0.764,5.0,6.5,8.1,4.0,,,,,
E054,2025-Q4,2.5,78.2,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.664,5.0,8.3,12.0,9.0,,,,,
E054,2026-Q1,2.5,69.0,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.658,6.0,5.0,11.1,3.0,,,,,
E055,2025-Q3,3.0,74.6,Good progress this quarter. Met key commitments and is developing well in the role.,0.784,6.0,6.5,11.6,10.0,,,,,
E055,2025-Q4,3.5,73.5,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.922,8.0,3.0,7.8,16.0,,,,,
E055,2026-Q1,3.5,83.6,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.854,6.0,5.5,7.9,11.0,,,,,
E056,2025-Q3,3.0,70.6,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,77.3,94.87,8.0,82.9,1.65
E056,2025-Q4,3.0,82.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,63.4,97.23,9.0,70.2,2.01
E056,2026-Q1,3.5,90.6,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,53.4,97.68,8.0,94.8,1.6
E057,2025-Q3,2.5,77.8,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.775,4.0,4.3,14.0,0.0,,,,,
E057,2025-Q4,3.0,64.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.814,7.0,5.5,8.5,8.0,,,,,
E057,2026-Q1,3.0,80.3,Good progress this quarter. Met key commitments and is developing well in the role.,0.801,5.0,3.4,11.8,4.0,,,,,
E058,2025-Q3,3.5,83.0,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.81,6.0,7.8,12.3,9.0,,,,,
E058,2025-Q4,3.5,82.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.879,5.0,5.0,3.9,12.0,,,,,
E058,2026-Q1,3.5,80.2,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.914,7.0,4.0,7.9,7.0,,,,,
E059,2025-Q3,3.5,77.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.926,6.0,6.1,7.1,12.0,,,,,
E059,2025-Q4,4.0,95.0,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.831,5.0,3.6,3.1,15.0,,,,,
E059,2026-Q1,4.0,100.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.823,8.0,2.7,5.3,14.0,,,,,
E060,2025-Q3,3.0,77.9,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.797,6.0,7.3,10.1,8.0,,,,,
E060,2025-Q4,3.0,81.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.814,4.0,6.0,8.8,8.0,,,,,
E060,2026-Q1,4.0,77.3,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.84,7.0,7.3,10.2,14.0,,,,,
E061,2025-Q3,2.5,65.8,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,,,,,,48.6,96.55,6.0,85.3,1.6
E061,2025-Q4,2.5,65.9,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,,,,,,37.1,96.27,4.0,86.4,1.54
E061,2026-Q1,3.0,80.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,43.5,97.81,5.0,84.4,1.56
E062,2025-Q3,3.0,83.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.789,5.0,5.0,13.9,11.0,,,,,
